draw_task,enum_name,nema_supported,evaluate_condition,impl_file,entry_fn,setup_apis_nema_graphics_h,primary_draw_apis_nema_graphics_h,blend_color_apis_related_headers,vg_or_other_apis_not_in_nema_graphics_h,cmdlist_submit,fallback_or_gap,notes
TRIANGLE,LV_DRAW_TASK_TYPE_TRIANGLE,yes,"LV_USE_NEMA_VG: always; else only solid fill",lv_draw_nema_gfx_triangle.c,lv_draw_nema_gfx_triangle,"nema_set_clip; nema_bind_dst_tex; nema_rgba; nema_enable_aa","solid: nema_fill_triangle","nema_set_blend_fill (nema_blender.h)","grad (NEMA_VG): nema_vg_path_set_shape; nema_vg_paint_set_grad_linear; nema_vg_draw_path; nema_vg_grad_set",nema_cl_submit,"without NEMA_VG: gradient triangle → SW",—
MASK_RECTANGLE,LV_DRAW_TASK_TYPE_MASK_RECTANGLE,no,evaluate default reject,—,—,—,—,—,—,—,SW / other unit,No NemaGFX handler
MASK_BITMAP,LV_DRAW_TASK_TYPE_MASK_BITMAP,no,evaluate default reject,—,—,—,—,—,—,—,SW / other unit,"Bitmap mask on IMAGE uses nema_bind_tex(NEMA_TEX3)+BLOP_STENCIL inside IMAGE path only"
BLUR,LV_DRAW_TASK_TYPE_BLUR,no,evaluate default reject,—,—,—,—,—,—,—,SW / other unit,No NemaGFX handler
VECTOR,LV_DRAW_TASK_TYPE_VECTOR,yes_if_VECTOR_and_NEMA_VG,LV_USE_VECTOR_GRAPHIC && LV_USE_NEMA_VG,lv_draw_nema_gfx_vector.c,lv_draw_nema_gfx_vector,"nema_set_clip; nema_bind_dst_tex; nema_rgba",— (path raster via VG),—,"nema_vg_path_*; nema_vg_paint_*; nema_vg_draw_path; nema_vg_set_fill_rule; nema_vg_stroke_*; nema_vg_set_quality; nema_vg_set_blend",nema_cl_submit + nema_cl_wait,"without NEMA_VG/VECTOR: not claimed","Almost entirely NemaVG; graphics.h only bind/clip/color helpers"
3D,LV_DRAW_TASK_TYPE_3D,no,not handled,—,—,—,—,—,—,—,other GPU/SW path,NemaGFX 2D unit only
3D_VIEWPORT,LV_DRAW_TASK_TYPE_3D_VIEWPORT,no,not handled,—,—,—,—,—,—,—,other GPU path,—
3D_CLEAR,LV_DRAW_TASK_TYPE_3D_CLEAR,no,not handled,—,—,—,—,—,—,—,other GPU path,"nema_clear exists in graphics.h but unused by this DrawUnit for 3D"
3D_LINE,LV_DRAW_TASK_TYPE_3D_LINE,no,not handled,—,—,—,—,—,—,—,other GPU path,—
3D_CALLBACK,LV_DRAW_TASK_TYPE_3D_CALLBACK,no,not handled,—,—,—,—,—,—,—,other GPU path,—
3D_MESH,LV_DRAW_TASK_TYPE_3D_MESH,no,not handled,—,—,—,—,—,—,—,other GPU path,—
3D_SCENE,LV_DRAW_TASK_TYPE_3D_SCENE,no,not handled,—,—,—,—,—,—,—,other GPU path,—
