function,category,return_type,has_doxygen,brief,parameters
nema_bind_src_tex,misc,void,Y,Program Texture Unit with a foreground (source) texture (NEMA_TEX1),"baseaddr_phys=Address of the source texture, as seen by the GPU; width=Texture width; height=Texture hight; format=Texture format; stride=Texture stride. If negative, it's calculated internally.; wrap_mode=Wrap/Repeat mode to be used. When using 'repeat' or 'mirror', texture dimensions must be a power of two. Otherwise the behavior is undefined."
nema_bind_dst_tex,misc,void,Y,Program Texture Unit with a destination texture (NEMA_TEX0),"baseaddr_phys=Address of the destination texture, as seen by the GPU; width=Texture width; height=Texture hight; format=Texture format; stride=Texture stride. If negative, it's calculated internally."
nema_bind_lut_tex,misc,void,Y,Program Texture Unit with a lut/palette texture (NEMA_TEX2) and index texture (NEMA_TEX1_),"baseaddr_phys=Address of the index texture; width=Index texture width; height=Index texture hight; format=Index texture format; stride=Index texture stride. If negative, it's calculated internally.; mode=Index texture sampling mode.  When using 'NEMA_TEX_REPEAT' or 'NEMA_TEX_MIRROR' wrapping mode, texture dimensions must be a power of two, otherwise the behavior is undefined. NEMA_FILTER_BL is not supported, texture filtering is always performed using point sampling.; palette_baseaddr_phys=Address of the lut/palette texture; palette_format=lut/palette texture format"
nema_bind_depth_buffer,misc,void,Y,Bind Depth Buffer,"baseaddr_phys=Address of the depth buffer, as seen by the GPU; width=Buffer width; height=Buffer hight"
nema_set_depth,state,void,Y,,
nema_set_gradient,state,void,Y,,
nema_clear,clear,void,Y,Clear destination texture with color,rgba8888=32-bit RGBA color; see=nema_rgba()
nema_clear_depth,clear,void,Y,Clear depth buffer with specified value,val=Clear value
nema_draw_line,stroke,void,Y,Draw a colored line,x0=x coordinate at the beginning of the line; y0=y coordinate at the beginning of the line; x1=x coordinate at the end of the line; y1=y coordinate at the end of the line; rgba8888=Color to be used; see=nema_set_blend_fill(); see=nema_rgba()
nema_draw_line_aa,stroke,void,Y,Draw a line with width. Apply AA if available,x0=x coordinate at the beginning of the line; y0=y coordinate at the beginning of the line; x1=x coordinate at the end of the line; y1=y coordinate at the end of the line; w=line width; rgba8888=Color to be used; see=nema_draw_line(); see=nema_set_blend_fill(); see=nema_rgba()
nema_draw_circle,stroke,void,Y,Draw a colored circle with 1 pixel width,x=x coordinate of the circle's center; y=y coordinate of the circle's center; r=circle's radius; rgba8888=Color to be used; see=nema_set_blend_fill(); see=nema_rgba()
nema_draw_circle_aa,stroke,void,Y,Draw a colored circle with Anti-Aliasing (if available) and specified width,x=x coordinate of the circle's center; y=y coordinate of the circle's center; r=circle's radius; w=pencil width; rgba8888=Color to be used; see=nema_set_blend_fill(); see=nema_rgba()
nema_draw_rounded_rect,stroke,void,Y,Draw a colored rectangle with rounded edges,x0=x coordinate of the upper left vertex of the rectangle; y0=y coordinate at the upper left vertex of the rectangle; w=width of the rectangle; h=height of the rectangle; r=corner radius; rgba8888=; see=nema_set_blend_fill(); see=nema_rgba()
nema_draw_rect,stroke,void,Y,Draw a colored rectangle,x=x coordinate of the upper left vertex of the rectangle; y=y coordinate at the upper left vertex of the rectangle; w=width of the rectangle; h=height of the rectangle; rgba8888=Color to be used; see=nema_set_blend_fill(); see=nema_rgba()
nema_fill_circle,fill,void,Y,Fill a circle with color,x=x coordinate of the circle's center; y=y coordinate of the circle's center; r=circle's radius; rgba8888=Color to be used; see=nema_set_blend_fill(); see=nema_rgba()
nema_fill_circle_aa,fill,void,Y,"Fill a circle with color, use Anti-Aliasing if available",x=x coordinate of the circle's center; y=y coordinate of the circle's center; r=circle's radius; rgba8888=Color to be used; see=nema_set_blend_fill(); see=nema_rgba()
nema_fill_triangle,fill,void,Y,Fill a triangle with color,x0=x coordinate at the first vertex of the triangle; y0=y coordinate at the first vertex of the triangle; x1=x coordinate at the second vertex of the triangle; y1=y coordinate at the second vertex of the triangle; x2=x coordinate at the third vertex of the triangle; y2=y coordinate at the third vertex of the triangle; rgba8888=Color to be used; see=nema_set_blend_fill()
nema_fill_rounded_rect,fill,void,Y,Fill a rectangle with rounded edges with color,x0=x coordinate of the upper left vertex of the rectangle; y0=y coordinate at the upper left vertex of the rectangle; w=width of the rectangle; h=height of the rectangle; r=corner radius; rgba8888=; see=nema_set_blend_fill(); see=nema_rgba()
nema_fill_rect,fill,void,Y,Fill a rectangle with color,x=x coordinate of the upper left vertex of the rectangle; y=y coordinate at the upper left vertex of the rectangle; w=width of the rectangle; h=height of the rectangle; rgba8888=Color to be used; see=nema_set_blend_fill(); see=nema_rgba()
nema_fill_quad,fill,void,Y,Fill a quadrilateral with color,x0=x coordinate at the first vertex of the quadrilateral; y0=y coordinate at the first vertex of the quadrilateral; x1=x coordinate at the second vertex of the quadrilateral; y1=y coordinate at the second vertex of the quadrilateral; x2=x coordinate at the third vertex of the quadrilateral; y2=y coordinate at the third vertex of the quadrilateral; x3=x coordinate at the fourth vertex of the quadrilateral; y3=y coordinate at the fourth vertex of the quadrilateral; rgba8888=Color to be used; see=nema_set_blend_fill(); see=nema_rgba()
nema_fill_rect_f,fill,void,Y,Fill a rectangle with color (float coordinates),x=x coordinate of the upper left vertex of the rectangle; y=y coordinate at the upper left vertex of the rectangle; w=width of the rectangle; h=height of the rectangle; rgba8888=Color to be used; see=nema_set_blend_fill(); see=nema_rgba()
nema_fill_quad_f,fill,void,Y,Fill a quadrilateral with color (float coordinates),x0=x coordinate at the first vertex of the quadrilateral; y0=y coordinate at the first vertex of the quadrilateral; x1=x coordinate at the second vertex of the quadrilateral; y1=y coordinate at the second vertex of the quadrilateral; x2=x coordinate at the third vertex of the quadrilateral; y2=y coordinate at the third vertex of the quadrilateral; x3=x coordinate at the fourth vertex of the quadrilateral; y3=y coordinate at the fourth vertex of the quadrilateral; rgba8888=Color to be used; see=nema_set_blend_fill(); see=nema_rgba()
nema_fill_triangle_f,fill,void,Y,Fill a triangle with color (float coordinates),x0=x coordinate at the first vertex of the triangle; y0=y coordinate at the first vertex of the triangle; x1=x coordinate at the second vertex of the triangle; y1=y coordinate at the second vertex of the triangle; x2=x coordinate at the third vertex of the triangle; y2=y coordinate at the third vertex of the triangle; rgba8888=Color to be used; see=nema_set_blend_fill()
nema_blit,blit,void,Y,Blit source texture to destination texture,x=destination x coordinate; y=destination y coordinate; see=nema_set_blend_fill()
nema_blit_rounded,blit,void,Y,Blit source texture to destination texture with rounded corners,x=destination x coordinate; y=destination y coordinate; r=destination corner radius; see=nema_set_blend_fill()
nema_blit_rect,blit,void,Y,Blit source texture to destination's specified rectangle (crop or wrap when needed),x=destination x coordinate; y=destination y coordinate; w=destination width; h=destination height; see=nema_set_blend_blit()
nema_blit_subrect,blit,void,Y,Blit part of a source texture to destination's specified rectangle (crop or wrap when needed),x=destination x coordinate; y=destination y coordinate; w=destination width; h=destination height; x=source x coordinate; y=source y coordinate; see=nema_blit_subrect(); see=nema_set_blend_blit()
nema_blit_rect_fit,blit,void,Y,Blit source texture to destination. Fit (scale) texture to specified rectangle.,x=destination x coordinate; y=destination y coordinate; w=destination width; h=destination height; see=nema_set_blend_blit()
nema_blit_subrect_fit,blit,void,Y,Blit part of source texture to destination. Fit (scale) texture to specified rectangle.,x=destination x coordinate; y=destination y coordinate; w=destination width; h=destination height; x=source x coordinate; y=source y coordinate; w=source width; h=source height; see=nema_blit_rect_fit(); see=nema_set_blend_blit()
nema_blit_rotate_pivot,blit,void,Y,Rotate around pivot point and Blit source texture.,"cx=destination rotation center x coordinate; cy=destination rotation center y coordinate; px=source pivot point x coordinate; py=source pivot point y coordinate; degrees_cw=degrees of clockwise rotation in range [0, 360]; see=nema_set_blend_blit()"
nema_blit_rotate,blit,void,Y,Rotate and Blit source texture to destination.,x=destination x coordinate; y=destination y coordinate; rotation=Rotation to be done; see=nema_set_blend_blit()
nema_blit_rotate_partial,blit,void,Y,Rotate and Blit partial source texture to destination.,sx=source upper left x coordinate; sy=source upper left y coordinate; sw=source width of partial region; sh=source height of partial region; x=destination x coordinate; y=destination y coordinate; rotation=Rotation to be done; see=nema_set_blend_blit()
nema_blit_tri_fit,blit,void,Y,Blit source texture to destination. Fit texture to specified triangle.,"dx0=x coordinate at the first vertex of the triangle; dy0=y coordinate at the first vertex of the triangle; v0=in [0, 3] indicates the corner of the texture that fits to the first vertex of the triangle 0 _ _ 1 |_ _| 3     2; dx1=x coordinate at the second vertex of the triangle; dy1=y coordinate at the second vertex of the triangle; v1=in [0, 3] indicates the corner of the texture that fits to the second vertex of the triangle; dx2=x coordinate at the third vertex of the triangle; dy2=y coordinate at the third vertex of the triangle; v2=in [0, 3] indicates the corner of the texture that fits "
nema_blit_tri_uv,blit,void,Y,Blit a triangular part of the source tecture to a triangular destination area,dx0=x coordinate at the first vertex of the destination triangle; dy0=y coordinate at the first vertex of the destination triangle; dw0=w coordinate at the first vertex of the destination triangle; dx1=x coordinate at the second vertex of the destination triangle; dy1=y coordinate at the second vertex of the destination triangle; dw1=w coordinate at the second vertex of the destination triangle; dx2=x coordinate at the third vertex of the destination triangle; dy2=y coordinate at the third vertex of the destination triangle; dw2=w coordinate at the third vertex of the destination triangle; sx0
nema_blit_quad_fit,blit,void,Y,Blit source texture to destination. Fit texture to specified quadrilateral.,dx0=x coordinate at the first vertex of the quadrilateral; dy0=y coordinate at the first vertex of the quadrilateral; dx1=x coordinate at the second vertex of the quadrilateral; dy1=y coordinate at the second vertex of the quadrilateral; dx2=x coordinate at the third vertex of the quadrilateral; dy2=y coordinate at the third vertex of the quadrilateral; dx3=x coordinate at the fourth vertex of the quadrilateral; dy3=y coordinate at the fourth vertex of the quadrilateral; see=nema_set_blend_blit(); see=nema_blit_subrect_quad_fit()
nema_blit_subrect_quad_fit,blit,void,Y,Blit source texture to destination. Fit rectangulare area of texture to specified quadrilateral.,dx0=x coordinate at the first vertex of the quadrilateral; dy0=y coordinate at the first vertex of the quadrilateral; dx1=x coordinate at the second vertex of the quadrilateral; dy1=y coordinate at the second vertex of the quadrilateral; dx2=x coordinate at the third vertex of the quadrilateral; dy2=y coordinate at the third vertex of the quadrilateral; dx3=x coordinate at the fourth vertex of the quadrilateral; dy3=y coordinate at the fourth vertex of the quadrilateral; sx=x coordinate of the top left corner of the texture's rectangular area to be blitted; sy=y coordinate of the top left corn
nema_blit_quad_m,blit,void,Y,Blit source texture to destination. Use the matrix provided by the user.,dx0=x coordinate at the first vertex of the quadrilateral; dy0=y coordinate at the first vertex of the quadrilateral; dx1=x coordinate at the second vertex of the quadrilateral; dy1=y coordinate at the second vertex of the quadrilateral; dx2=x coordinate at the third vertex of the quadrilateral; dy2=y coordinate at the third vertex of the quadrilateral; dx3=x coordinate at the fourth vertex of the quadrilateral; dy3=y coordinate at the fourth vertex of the quadrilateral; m=3x3 matrix (screen coordinates to texture coordinates); see=nema_set_blend_blit()
nema_brk_enable,debug-brk,void,Y,Enable breakpoints,see=nema_brk_disable()
nema_brk_disable,debug-brk,void,Y,Disable breakpoints,see=nema_brk_enable()
nema_brk_add,debug-brk,int,Y,Add a breakpoint to the current Command List,return=Breakpoint ID
nema_brk_wait,debug-brk,int,Y,Add a breakpoint to the current Command List,"brk_id=Breakpoint ID to wait for. If zero (0), wait until next Breakpoint; return=ID of reached Breakpoint"
nema_brk_continue,debug-brk,void,Y,Instruct the GPU to resume execution,
nema_ext_hold_enable,debug-hold,void,Y,Enable external hold signals,hold_id=Hold signals to be enabled [0-3]; see=nema_ext_hold_disable()
nema_ext_hold_disable,debug-hold,void,Y,Disable external hold signals,hold_id=Hold signals to be disabled [0-3]; see=nema_ext_hold_enable()
nema_ext_hold_irq_enable,debug-hold,void,Y,Enable Interrupt Request when GPU reaches hold point,hold_id=Hold signals' IRQ to be enabled [0-3]; see=nema_ext_hold_disable()
nema_ext_hold_irq_disable,debug-hold,void,Y,Disable external hold signals,hold_id=Hold signals' IRQ to be disabled [0-3]; see=nema_ext_hold_enable()
nema_ext_hold_assert,debug-hold,void,Y,Assert hold signals internally via a Command List,"hold_id=Hold signal to be asserted; stop=If not zero, force Command List Processor to wait for FLAG to be deasserted; see=nema_ext_hold_deassert()"
nema_ext_hold_deassert,debug-hold,void,Y,Dessert hold signals internally via a Command List,hold_id=Hold signal to be deasserted; see=nema_ext_hold_assert()
nema_ext_hold_assert_imm,debug-hold,void,Y,Assert hold signals from the CPU (no Command List),hold_id=Hold signal to be asserted; see=nema_ext_hold_deassert()
nema_ext_hold_deassert_imm,debug-hold,void,Y,Dessert hold signals from the CPU (no Command List),hold_id=Hold signal to be deasserted; see=nema_ext_hold_assert()
nema_get_sw_device_name,init,const char*,Y,Check for which architeture is the library compiled,return=Returns string with the architecture name
