draw_task,enum_name,category,macro_guard,description_zh,description_en,typical_trigger,api_entry,sw_support,evgpu_support,crt_support,mae_vs_sw_difficulty,mae_notes,unity_tests_widgets,unity_tests_draw,bench_scene,notes,
TRIANGLE,LV_DRAW_TASK_TYPE_TRIANGLE,2d,always,填充三角形,Filled triangle,lv_draw_triangle（常经 canvas）,lv_draw_triangle,yes,yes,yes,low_to_medium,边 AA 仍可能差几个像素,test_canvas 大量 triangle,较少独立文件,triangle_scene,,
MASK_RECTANGLE,LV_DRAW_TASK_TYPE_MASK_RECTANGLE,2d,always,矩形/圆角遮罩（如 clip_corner）,Rectangular/rounded mask,clip_corner / bar indicator mask / lv_draw_mask_rect,lv_draw_mask_rect,yes,yes,yes,medium,圆角 mask 边缘 AA,widgets 少显式 clip_corner；bar 可能间接,test_draw_sw_mask / test_clip_corner / test_draw_layer,mask_rect_scene,,
MASK_BITMAP,LV_DRAW_TASK_TYPE_MASK_BITMAP,2d,always,位图 alpha 遮罩,Bitmap alpha mask,bitmap_mask_src style / layer mask,lv_draw_mask（bitmap 路径）,yes（主路径）,no (evaluate=0 回落 SW),no (evaluate=0 回落 SW),medium,GPU DrawUnit 常不认领,少,test_draw_layer / test_draw_sw_mask,无独立 bench scene,EVGPU/CRT 故意回落 SW,
BLUR,LV_DRAW_TASK_TYPE_BLUR,2d,always,区域高斯/近似模糊（含 backdrop）,Region blur (content or backdrop),style blur_radius / lv_draw_blur,lv_draw_blur,yes,yes (kawase 等),yes (kawase),hard,滤波实现不同；相对 SW 很难 MAE→0,test_blur（style）,test_draw_blur（直调 API）,blur_scene,widgets 已补 style 路径用例,
VECTOR,LV_DRAW_TASK_TYPE_VECTOR,2d,LV_USE_VECTOR_GRAPHIC,矢量路径填充/描边（曲线/规则/渐变/pattern）,Vector path fill/stroke,lv_draw_vector / chart CURVE / SVG / canvas path,lv_draw_vector,yes (ThorVG),yes (EVGR),yes (tess→GLES2),hard,实测 vs SW：lines~1–3 MAE；shapes~10–16；during_rendering CRT 可达~35；不宜强求 MAE=0,test_vector；chart_curve 间接,test_draw_vector* / demo_vector_graphic,无独立 bench；见 unity_sw_evgpu_crt_diff,三后端算法不同是主因,
3D,LV_DRAW_TASK_TYPE_3D,3d,LV_USE_3DTEXTURE,3D 纹理 blit 到 2D 层,Blit 3D texture to 2D layer,lv_3dtexture 等,lv_draw_3d,no,部分/视宏,部分/视宏,n/a_vs_sw,SW 无对等路径；勿用 SW 金图求零,—（未单测 TYPE_3D）,—,demos 视配置,与 3D_* pass 族不同,
3D_VIEWPORT,LV_DRAW_TASK_TYPE_3D_VIEWPORT,3d,LV_USE_3D_DRAW_TASKS,开启/解析 3D pass 视口到屏幕,Open/resolve 3D pass viewport,lv_3dviewport,lv_draw_3d_viewport 等,no,yes,yes,n/a_vs_sw,仅 GPU；Unity 冒烟无 SW 金图,test_3dviewport_grid_smoke (EVGPU/CRT only),—,3dviewport demo,依赖 EGL+EVGPU/CRT,
3D_CLEAR,LV_DRAW_TASK_TYPE_3D_CLEAR,3d,LV_USE_3D_DRAW_TASKS,清 3D pass 的 color/depth,Clear 3D pass color/depth,viewport clear_color / clear_depth,lv_draw_3d_clear,no,yes,yes,n/a_vs_sw,随 viewport 冒烟覆盖,test_3dviewport_grid_smoke,—,随 3D pass,,
3D_LINE,LV_DRAW_TASK_TYPE_3D_LINE,3d,LV_USE_3D_DRAW_TASKS,3D 空间线段（如 grid）,3D space lines (e.g. grid),viewport grid_visible,lv_draw_3d_line,no,yes,yes,n/a_vs_sw,随 grid 冒烟,test_3dviewport_grid_smoke,—,随 mesh/viewport demo,,
3D_CALLBACK,LV_DRAW_TASK_TYPE_3D_CALLBACK,3d,LV_USE_3D_DRAW_TASKS,自定义 GLES 回调绘制,Custom GLES render callback,lv_3dviewport_set_render_cb,lv_draw_3d_callback,no,yes,yes,n/a_vs_sw,本轮 Unity 未加用例,—,—,demo_3dviewport render_cb,需自备 shader,
3D_MESH,LV_DRAW_TASK_TYPE_3D_MESH,3d,LV_USE_3D_DRAW_TASKS (+ LV_USE_3DMESH),三角网格（可 phong）,Triangle mesh (optional phong),lv_3dmesh_set_box / load_obj,lv_draw_3d_mesh,no,yes,yes,n/a_vs_sw,GPU 冒烟；无 SW 金图,test_3dviewport_mesh_box_smoke,—,3dscene / 3dview demos,需 LV_USE_3DMESH,
3D_SCENE,LV_DRAW_TASK_TYPE_3D_SCENE,3d,LV_USE_3D_DRAW_TASKS (+ LV_USE_GLTF),GLTF 场景绘制,glTF scene draw,lv_gltf / 3dscene demo,lv_draw_3d_scene,no,视 GLTF,视 GLTF,n/a_vs_sw,依赖资产与 GLTF 栈；Unity 未覆盖,—,—,GLTF demos,板端常 LV_USE_GLTF=0,
